,loss,binary_accuracy,iou,dice_coefficients,val_loss,val_binary_accuracy,val_iou,val_dice_coefficients
0,-0.15830864012241364,0.9509043097496033,0.0881248265504837,0.15835270285606384,-0.022532934322953224,0.9894024729728699,0.011474025435745716,0.022532934322953224
1,-0.2711962163448334,0.9891531467437744,0.1595306545495987,0.27121931314468384,-0.01780940592288971,0.9906477928161621,0.009034772403538227,0.017110956832766533
2,-0.34216612577438354,0.9915593266487122,0.2101784497499466,0.34214723110198975,-0.043435681611299515,0.987784206867218,0.022919893264770508,0.043435681611299515
3,-0.42120134830474854,0.9934321045875549,0.2708420157432556,0.4212145209312439,-0.17737837135791779,0.9928210377693176,0.1025157943367958,0.18190355598926544
4,-0.5045205354690552,0.9948483109474182,0.3427445590496063,0.5045588612556458,-0.45907333493232727,0.9895191788673401,0.29928210377693176,0.45907333493232727
5,-0.5610818862915039,0.9948329329490662,0.395153671503067,0.5610466003417969,-0.6299346089363098,0.9952607750892639,0.46713054180145264,0.6299346089363098
6,-0.618497908115387,0.9957894086837769,0.45437875390052795,0.6184990406036377,-0.7155058979988098,0.9971411228179932,0.5489892363548279,0.7062012553215027
7,-0.6766216158866882,0.9961738586425781,0.5169320702552795,0.6766068339347839,-0.708655059337616,0.9968702793121338,0.5534889101982117,0.708655059337616
8,-0.701514482498169,0.9962620735168457,0.5468986630439758,0.7015032768249512,-0.728152871131897,0.9948193430900574,0.5484699606895447,0.7002342343330383
9,-0.7348247766494751,0.9965072870254517,0.5900439620018005,0.7348592281341553,-0.7031282186508179,0.9959735870361328,0.544046938419342,0.7035036087036133
10,-0.7562967538833618,0.9966748952865601,0.6171529293060303,0.7562866806983948,-0.7883591055870056,0.9972012042999268,0.6527181267738342,0.7883591055870056
11,-0.7906301021575928,0.997028112411499,0.6573082804679871,0.79062819480896,-0.8064544200897217,0.9974700212478638,0.6730436682701111,0.8032186627388
12,-0.8002811074256897,0.997093915939331,0.6721562147140503,0.8002950549125671,-0.8060943484306335,0.9973763823509216,0.6782010197639465,0.8060943484306335
13,-0.8176994323730469,0.9972730875015259,0.6956409215927124,0.817680299282074,-0.8342945575714111,0.9976658821105957,0.7181407809257507,0.8342945575714111
14,-0.8122552633285522,0.9970038533210754,0.6881396770477295,0.8122625350952148,-0.5745064616203308,0.994949996471405,0.37677597999572754,0.5217760801315308
15,-0.8149492740631104,0.9970459342002869,0.6925947070121765,0.8149598836898804,-0.8305757641792297,0.9970505833625793,0.7136706709861755,0.8305757641792297
16,-0.8200247287750244,0.9970695376396179,0.7004742622375488,0.8200183510780334,-0.7200853824615479,0.9966446757316589,0.5777361989021301,0.7286064624786377
17,-0.8094041347503662,0.9967861771583557,0.6867371797561646,0.8094174861907959,-0.8538739681243896,0.9969284534454346,0.7582405209541321,0.8612454533576965
18,-0.8352246284484863,0.9972013831138611,0.7216474413871765,0.8352257013320923,-0.8519105315208435,0.9978161454200745,0.7444078326225281,0.8519105315208435
19,-0.8434290885925293,0.997387707233429,0.7363088130950928,0.8434513807296753,-0.8793680667877197,0.9976189136505127,0.7997351288795471,0.8871510624885559
20,-0.8325673341751099,0.9971243739128113,0.7212936878204346,0.8325769305229187,-0.8504565358161926,0.9977295398712158,0.7437000274658203,0.8504565358161926
21,-0.8494594097137451,0.9973704814910889,0.7425116896629333,0.8494647145271301,-0.8642480373382568,0.9981045722961426,0.7633258700370789,0.8642480373382568
